"word","weight","pronunciation","verb","verbt","verbi","noun","adj","adv","prep","conj","sentence","looklike","homoionym","antonym"
"trim","1569","/trɪm/","","修剪；整理","","修剪；整理","苗条的，修长的；整齐的，整洁的","","","","","tame,tram","clip,cut back,decorate,adorn,tidy,orderly,slim,fit,n.decoration,adornment,frill","lengthen,augment,messy,bulky
"
"lack","19737","/læk/","","缺乏，不足，没有","","缺乏，不足，没有","","","","","","like,leg,lag","scarceness,unavailability,be short of,want for,require","surplus,glut,excess,plenty,abundance,have"
"pardon","1672","/ˈpɑːdn/","","原谅，宽恕；赦免","","原谅，宽恕；赦免","","","","","","patent,pattern","sorry,repeat","convict,guilty"
"fair","245","/feə(r)/","","","","","公平的、地","公平的、地","","","","fire,fear","justice,equitable,impartial","foul,unfair"
"interview","18824","/ˈɪntəvjuː/","接见，会见；采访；面试","","","接见，会见；采访；面试","","","","","","intervene,interval","meeting,talk,conference,consultation,discussion,question,interrogate,quiz","interviewee"
"shave","565","/ʃeɪv/","修面","","","修面","","","","","","shame,save","cut off,shear,cut,trim","fix up,patch,restore,repair,mend"
"forecast","2894","/ˈfɔːkɑːst/","","预报；预测；预想","","预报；预测；预想","","","","","","","predict,caculate,project,anticipate,foretell,foresee,estimate,guess,conjecture","hindsight,belated,postmortem"
"bid","4195","/bɪd/","出价；投标","","","出价；投标","","","","","","bead,bit,beat","offer,propose,submit,proffer,proposal,proposition,effort,undertake","withdral,recall,retract,revoke"
"endeavour","122","/ɪnˈdevə(r)/","","","努力，尽力；尝试","努力，尽力；尝试","","","","","","","neglect,strive,effort,dilligent,industrious,assiduous","lazy,idle,sloth,inactive,slack,sluggish,remiss"
"glide","633","/glaɪd/","","","滑行，滑翔","滑行，滑翔","","","","","","glad,","slither,slide,sashay,slip,skate","drag,resist,obstruct"
"gallop","457","/ˈgæləp/","奔驰，飞跑，飞驰","","","奔驰，飞跑，飞驰","","","","","","glop","dash,career,run,hurtle,fly","slow,poky,crawl"
"boast","632","/bəust/","自夸；夸耀","","","自夸；夸耀","","","","","","boost,boat,bust","brag,vaunt,claim,assert,avowal,show off,crow,swank","humble,modest,humility"
"scrape","1402","/skreɪp/","刮，擦","","","刮，擦","","","","","","scrap","scratch,scrub,flake,scuff,predicament,jam,fight,rubdown","reconciliation"
"swap","1007","/swɔp/","交换","","","交换","","","","","","swamp,swipe","change,exchange,dicker,negotiate,interchange,substitution",""
"mention","5577","/ˈmenʃn/","提及，说起","","","提及，说起","","","","","","mansion,motion","reference,indicate,discussion,remark,allusion,talk about,state,cite,say","conceal"
"hire","1417","/ˈhaɪə(r)/","租用；雇用","","","租用；雇用","","","","","","hair,higher,hear","employ,appoint,take on,sign up,engage,rental,lease,charter","fire,dismiss,layoff,discharge,sack"
"request","10356","/rɪˈkwest/","","要求；请求","","要求；请求","","","","","","recast","appeal,demand,call,application,entreaty,ask for,entreat,invite",""
"interplay","1255","/ˈɪntəpleɪ/","","","相互作用，相互影响","相互作用，相互影响","","","","","","interplate,interpolate,interlay","interact,relationship,interchange,back-and-forth,chemistry","isolate,solitary,separate,insulate,seclude"
"promise","18833","/ˈprɔmɪs/","允诺，保证；预兆，预示","","","允诺，保证；预兆，预示","","","","","","premise","guarantee,agreement,contract,assure,swear,undertake,confirm,engage","repent,betray,forsake"
"resit","0","/ˏriːˈsɪt/","重修，补考","","","重修，补考","","","","","","resist,reset","rearrange,reorganize,retune,change,right","exemption"
"delay","9092","/dɪˈleɪ/","耽搁，延迟，延期，迟滞","","","耽搁，延迟，延期，迟滞","","","","","","","postpone,procrastinate,hesitate,suspend","advance"
